0400 - Fornitore;t_cotp;NrOdA;t_odat;t_pono;t_item;4050 - Qta Ordinata (kg);4050 - Importo Ordinato
BP0000649;CLA;CLA000001;31/08/2020;10;NSZV060D1TM2;1134;0
BP0001315;CLA;CLA000002;03/09/2020;10;NSZV050D1B91;7665;0
BP0001315;CLA;CLA000003;16/09/2020;10;NSZV045D1B21;6070;0
BP0001315;CLA;CLA000003;16/09/2020;20;NSZV050D1B91;7440;0
BP0001315;CLA;CLA000004;22/09/2020;10;NSZV080D1B91;5940;0
BP0001315;CLA;CLA000004;22/09/2020;20;NSZV080D1B91;7020;0
BP0005018;CLA;CLA000005;22/09/2020;10;NSZV050D1B91;22025;0
BP0001315;CLA;CLA000006;02/10/2020;10;NSZV050D1B91;29170;0
BP0001315;CLA;CLA000007;05/10/2020;10;NSZV050D1B91;28730;0
BP0002265;CLA;CLA000008;09/10/2020;10;NSAV070AT2L;1055,5;0
BP0002265;CLA;CLA000008;09/10/2020;20;NSAV070KB2L;1058,5;0
BP0000653;CLA;CLA000009;13/10/2020;10;NSZV060D1TM1;1268;0
BP0000653;CLA;CLA000009;13/10/2020;20;NSZV060D1SI1;1293;0
BP0001315;CLA;CLA000010;20/10/2020;10;NSZV080D1B91;29120;0
BP0001315;CLA;CLA000011;22/10/2020;10;NSZV080D1B91;4420;0
BP0001315;CLA;CLA000012;22/10/2020;10;NSZV050D1B91;28670;0
BP0001315;CLA;CLA000013;23/10/2020;10;NSZV050D1B91;28820;0
BP0001988;CLA;CLA000014;02/11/2020;10;NSZV065D1BG1;5445;0
BP0001129;CLA;CLA000015;13/11/2020;10;NSAI0403162B;1985;0
BP0001315;CLA;CLA000016;27/11/2020;10;NSAI0703042B;5000;0
BP0001315;CLA;CLA000017;30/11/2020;10;NSZV050D1B91;23230;0
BP0001315;CLA;CLA000017;30/11/2020;20;NSZV050D1B91;6570;0
BP0001315;CLA;CLA000018;03/12/2020;10;NSZV080D1B91;29070;0
BP0001315;CLA;CLA000019;11/12/2020;10;NSZV050D1B91;11600;0
BP0002265;CLA;CLA000020;14/12/2020;10;NSAV070AT2L;1046,5;0
BP0001315;CLA;CLA000021;15/12/2020;10;NSZV050D1B91;0;0
BP0001315;CLA;CLA000021;15/12/2020;30;NSZV045D1B91;3580;0
BP0001315;CLA;CLA000021;15/12/2020;40;NSZV050D1CS1;1220;0
BP0001625;CLA;CLA000022;08/01/2021;10;NSZV055D1G72;1064;0
BP0001625;CLA;CLA000022;08/01/2021;20;NSZV060D1TM2;9170;0
BP0001625;CLA;CLA000022;08/01/2021;30;NSAI0603042B;2226;0
BP0002044;CLA;CLA000023;08/01/2021;10;NSZV055D1BG1;5694;0
BP0002044;CLA;CLA000023;08/01/2021;20;NSZV055D1BG1;1403;0
BP0002044;CLA;CLA000023;08/01/2021;30;NSZV055D1BG1;4245;0
BP0002044;CLA;CLA000023;08/01/2021;40;NSZV055D1BG1;2104;0
BP0002044;CLA;CLA000023;08/01/2021;50;NSZV075D1BG1;4178;0
BP0001594;CLA;CLA000024;14/01/2021;10;NSZV080D1CS1;1566;0
BP0000770;CLA;CLA000025;22/01/2021;10;NSAI0403042B;0;0
BP0000653;CLA;CLA000026;28/01/2021;10;NSZV060D1SI1;309;0
BP0000653;CLA;CLA000026;28/01/2021;20;NSZV060D1TM1;310;0
BP0000653;CLA;CLA000026;28/01/2021;30;NSZV060D1TM1;1277;0
BP0002265;CLA;CLA000027;29/01/2021;10;NSAV070AT2L;1055,5;0
BP0002072;CLA;CLA000028;04/02/2021;10;NSAI150304BA;10383;0
BP0002072;CLA;CLA000028;04/02/2021;20;NSAI200304BA;6228;0
BP0006157;CLA;CLA000029;04/02/2021;10;NSZN080D1100;1902;0
BP0001315;CLA;CLA000030;05/02/2021;10;NSZV050D1B91;28730;0
BP0001315;CLA;CLA000031;08/02/2021;10;NSZV050D1B91;2760;0
BP0001129;CLA;CLA000032;09/02/2021;10;NSAI0403162B;1985;0
BP0001129;CLA;CLA000032;09/02/2021;20;NSAI0503162B;1736;0
BP0002265;CLA;CLA000033;12/02/2021;10;NSAV070TM2L;1045;0
BP0001315;CLA;CLA000034;12/02/2021;10;NSZV050D1B91;29230;0
BP0001927;CLA;CLA000035;12/02/2021;10;NSAI0803162B;2527;0
BP0002265;CLA;CLA000036;26/02/2021;10;NSAV070BG2L;1064;0
BP0002265;CLA;CLA000036;26/02/2021;20;NSAV070GA2L;1046,5;0
BP0001390;CLA;CLA000037;09/03/2021;10;NSZV100D1B91;8780;0
BP0001988;CLA;CLA000039;12/03/2021;10;NSZV070D1B91;16875;0
BP0001315;CLA;CLA000040;15/03/2021;10;NSZV080D1B91;15670;0
BP0001315;CLA;CLA000040;15/03/2021;20;NSZV050D1B91;11370;0
BP0000714;CLA;CLA000041;16/03/2021;10;NSZN200D1100;1950;0
BP0000714;CLA;CLA000041;16/03/2021;20;NSAL2505754H111;1189;0
BP0000610;CLA;CLA000042;16/03/2021;10;NSZV140D1CS1;5228;0
BP0000610;CLA;CLA000042;16/03/2021;20;NSZV140D1CS1;4958;0
BP0001315;CLA;CLA000043;17/03/2021;10;NSZV080D1B91;27840;0
BP0001988;CLA;CLA000044;06/04/2021;10;NSZV075D1BG1;2460;0
BP0006274;CLA;CLA000045;08/04/2021;10;NSZN120D1275;0;0
BP0006276;CLA;CLA000046;08/04/2021;10;NSZN120D1275;4335;0
BP0000266;CLA;CLA000047;08/04/2021;10;NSAI1203162B;4614;0
BP0000266;CLA;CLA000047;08/04/2021;20;NSAI0803162B;9768;0
BP0000266;CLA;CLA000047;08/04/2021;30;NSAI1203162B;9520;0
BP0002265;CLA;CLA000048;09/04/2021;10;NSAV070AT2L;1051;0
BP0006288;CLA;CLA000049;14/04/2021;10;NSZN030D1100;2375;0
BP0006288;CLA;CLA000049;14/04/2021;20;NSZN030D1100;2100;0
BP0006288;CLA;CLA000049;14/04/2021;30;NSZN030D1100;3360;0
BP0006288;CLA;CLA000049;14/04/2021;40;NSZN030D1100;6370;0
BP0001315;CLA;CLA000050;14/04/2021;10;NSZV050D1B91;26144;0
BP0001315;CLA;CLA000051;15/04/2021;10;NSZV050D1B91;26915;0
BP0002265;CLA;CLA000052;30/04/2021;10;NSAV070MO2L;1046,5;0
BP0002265;CLA;CLA000053;11/05/2021;10;NSAV070BG2L;2113;0
BP0000751;CLA;CLA000054;17/05/2021;10;NSZN100D1100;2000;0
BP0000751;CLA;CLA000054;17/05/2021;20;NSZN055D1100;8440;0
BP0000751;CLA;CLA000054;17/05/2021;30;NSZV055D1BG1;9940;0
BP0000751;CLA;CLA000054;17/05/2021;40;NSZV055D1BG1;7535;0
BP0001315;CLA;CLA000055;18/05/2021;10;NSZV050D1B91;26265;0
BP0001315;CLA;CLA000055;18/05/2021;20;NSZV050D1B91;3045;0
BP0001043;CLA;CLA000056;24/05/2021;10;NSZV150D1BG2;9160;0
BP0001315;CLA;CLA000057;26/05/2021;10;NSZV080D1B91;27980;0
BP0001315;CLA;CLA000058;31/05/2021;10;NSZV080D1B91;27860;0
BP0000739;CLA;CLA000059;31/05/2021;10;NSZV080D1BG2;1311;0
BP0002265;CLA;CLA000060;01/06/2021;10;NSAV070AT2L;9080;0
BP0000266;CLA;CLA000061;11/06/2021;10;NSZN080D1275;9240;0
BP0005714;CLA;CLA000062;18/06/2021;10;NSZV100D1NE1;4272;0
BP0002265;CLA;CLA000063;18/06/2021;10;NSAV070OR2L;1019;0
BP0002265;CLA;CLA000063;18/06/2021;20;NSAV070TM2L;1035;0
BP0002265;CLA;CLA000063;18/06/2021;30;NSAV070AT2L;4021;0
BP0002265;CLA;CLA000063;18/06/2021;40;NSAV070KB2L;1036;0
BP0000653;CLA;CLA000064;23/06/2021;10;NSZV060D1GS1;662;0
BP0001315;CLA;CLA000065;30/06/2021;10;NSZV045D1B21;2380;0
BP0000266;CLA;CLA000066;01/07/2021;10;NSZN120D1275;10200;0
BP0001017;CLA;CLA000067;01/07/2021;10;NSAV100TM2L;1010;0
BP0001017;CLA;CLA000067;01/07/2021;20;NSAV100BG2L;1021;0
BP0002265;CLA;CLA000068;02/07/2021;10;NSAV070AT2L;7840;0
BP0006112;CLA;CLA000069;06/07/2021;10;NSZV080D1B91;2105;0
BP0001129;CLA;CLA000070;07/07/2021;10;NSAI0403162B;1707;0
BP0000610;CLA;CLA000071;12/07/2021;10;NSAV070CS2L;1080;0
BP0001315;CLA;CLA000072;19/07/2021;10;NSZV080D1B91;27700;0
BP0001315;CLA;CLA000072;19/07/2021;20;NSZV050D1CS1;3580;0
BP0006187;CLA;CLA000073;19/07/2021;10;NSAI0503042B;10530;0
BP0000653;CLA;CLA000074;20/07/2021;10;NSZV060D1TM1;875;0
BP0001315;CLA;CLA000075;20/07/2021;10;NSZV080D1B91;14190;0
BP0001315;CLA;CLA000076;20/07/2021;10;NSZV080D1B91;15610;0
BP0002265;CLA;CLA000077;27/07/2021;10;NSAV070BG2L;1026;0
BP0002265;CLA;CLA000077;27/07/2021;20;NSZN200D1100;6000;0
BP0000155;CLA;CLA000078;01/09/2021;10;NSAI0703042B;1434;0
BP0001129;CLA;CLA000079;01/09/2021;10;NSAI0403162B;2114;0
BP0001129;CLA;CLA000079;01/09/2021;20;NSAI0403162B;951;0
BP0001247;CLA;CLA000080;09/09/2021;10;NSAI0703042B;2000;0
BP0001315;CLA;CLA000081;29/09/2021;10;NSZV080D1B91;21880;0
BP0001315;CLA;CLA000081;29/09/2021;20;NSZV080D1B91;7810;0
BP0001315;CLA;CLA000082;04/10/2021;10;NSZV080D1B91;29680;0
BP0002061;CLA;CLA000083;18/10/2021;10;NSZV060D1CS1;8610;0
BP0001315;CLA;CLA000084;20/10/2021;10;NSZV045D1B21;4650;0
BP0000761;CLA;CLA000085;28/10/2021;10;NSZV080D1BP1;1268;0
BP0002265;CLA;CLA000086;04/11/2021;10;NSZV070D1BG2;2060;0
BP0002265;CLA;CLA000086;04/11/2021;20;NSZV070D1GA2;4129;0
BP0000653;CLA;CLA000087;08/11/2021;10;NSZV060D1TM2;752;0
BP0000653;CLA;CLA000087;08/11/2021;20;NSZV060D1GS2;882;0
BP0000653;CLA;CLA000087;08/11/2021;30;NSZV080D1NE2;463;0
BP0000610;CLA;CLA000088;08/11/2021;10;NSAV080TM2L;732;0
BP0000610;CLA;CLA000088;08/11/2021;20;NSAV080GA1L;340;0
BP0000610;CLA;CLA000088;08/11/2021;30;NSAV080G71L;598;0
BP0001315;CLA;CLA000089;11/11/2021;10;NSZV080D1CS1;6254;0
BP0001315;CLA;CLA000090;23/11/2021;10;NSAI0703042B;1810;0
BP0000730;CLA;CLA000091;07/12/2021;10;NSAL0503105H24;1041;0
BP0001129;CLA;CLA000092;09/12/2021;10;NSAI0403162B;7780;0
BP0001315;CLA;CLA000093;16/12/2021;10;NSZV080D1B91;29390;0
BP0001315;CLA;CLA000094;20/12/2021;10;NSZV080D1B91;28310;0
BP0003969;A01;OA0000002;10/08/2020;10;XXIMPEL0870FIBA;?;109146
BP0003969;A01;OA0000002;10/08/2020;20;XXIMPEL1000FIB;?;109146
BP0003969;A01;OA0000002;10/08/2020;30;XXIMPEL1250FIB;?;109146
BP0003969;A01;OA0000002;10/08/2020;40;XXIMPEL1500FIB;?;109146
BP0003969;A01;OA0000002;10/08/2020;50;XXIMPEL1000LMA;?;109146
BP0003969;A01;OA0000002;10/08/2020;60;XXIMPEL1250LMA;?;109146
BP0003969;A01;OA0000002;10/08/2020;70;XXIMPEL1500LMA;?;109146
BP0003518;A01;OA0000003;10/08/2020;10;XXIMPEL1000LB;?;33643,75
BP0003518;A01;OA0000003;10/08/2020;20;XXIMPEL1250LB;?;33643,75
BP0003518;A01;OA0000003;10/08/2020;30;XXIMPEL1500LB;?;33643,75
BP0003518;A01;OA0000003;10/08/2020;40;XXIMPEL1250BN;?;33643,75
BP0003770;A01;OA0000004;10/08/2020;10;XXIMPEL1000;?;72900
BP0003770;A01;OA0000004;10/08/2020;20;XXIMPEL1250;?;72900
BP0003770;A01;OA0000004;10/08/2020;30;XXIMPEL1500;?;72900
BP0003770;A01;OA0000004;10/08/2020;40;XXIMPEL1000VEN;?;72900
BP0003770;A01;OA0000004;10/08/2020;50;XXIMPEL1250VEN;?;72900
BP0002105;A01;OA0000005;10/08/2020;10;XXIMLECORNICI;561;5924,9
BP0002105;A01;OA0000005;10/08/2020;20;XXIMLEFO125X350;30;5924,9
BP0002105;A01;OA0000005;10/08/2020;30;XXIMLEFO150X250;100;5924,9
BP0002105;A01;OA0000005;10/08/2020;40;XXIMLEFO150X250;6;5924,9
BP0002105;A01;OA0000006;10/08/2020;10;XXIMLEROTOLI;2014;10778,58
BP0002105;A01;OA0000006;10/08/2020;20;XXIMLEROTOLI;2042;10778,58
BP0002105;A01;OA0000007;10/08/2020;10;XXIMLEEURO;922;4061,82
BP0002105;A01;OA0000007;10/08/2020;20;XXIMLEEURO;628;4061,82
BP0002105;A01;OA0000008;10/08/2020;10;XXIMLEROTOLINI;616;8919
BP0002105;A01;OA0000008;10/08/2020;20;XXIMLEFO150X300;604;8919
BP0003845;A01;OA0000009;10/08/2020;10;XXIMFEREGGIA;5052;3450
BP0003672;A01;OA0000012;10/08/2020;10;XXIMPET19X08;42000;3332,12
BP0003672;A01;OA0000012;10/08/2020;20;XXIMPET19X13;52680;3332,12
BP0004182;A01;OA0000013;11/08/2020;10;XXIMPP150X200;2000;12900
BP0004182;A01;OA0000013;11/08/2020;20;XXIMPP145X270;2000;12900
BP0004182;A01;OA0000013;11/08/2020;30;XXIMPP170X320;2000;12900
BP0004933;A01;OA0000017;10/08/2020;10;XXNA1600X28CS24;106;3885
BP0004933;A01;OA0000017;10/08/2020;20;XXNA1600X28CS18;0;3885
BP0000855;A01;OA0000018;11/08/2020;10;NSAI0803212B;1230;3180
BP0003653;A01;OA0000019;11/08/2020;10;FOCU250DSCR;3179;18930
BP0003425;A01;OA0000021;13/08/2020;10;XXIMCAANIMA150;28800;22820
BP0003242;A01;OA0000022;13/08/2020;10;NSAL0453105H16;5875;73882,33
BP0003242;A01;OA0000022;13/08/2020;20;NSAL3005754H111;9848;73882,33
BP0003242;A01;OA0000022;13/08/2020;30;NSAL4005754H111;9332;73882,33
BP0003242;A01;OA0000022;13/08/2020;40;NSAL0605049H34;8005;73882,33
BP0001372;A01;OA0000023;13/08/2020;10;NSAV080BR2L;9470;52656,66
BP0001372;A01;OA0000023;13/08/2020;20;NSAV080BR2L;6860;52656,66
BP0001372;A01;OA0000023;13/08/2020;30;NSAV070TM2L;2865;52656,66
BP0003242;A01;OA0000024;25/08/2020;10;NSAL0453105H16;7084;13093,2
BP0004646;A01;OA0000025;26/08/2020;10;XXACEETILE;0;585
BP0003735;A01;OA0000027;26/08/2020;10;NSAV080NE1L;21164;57375,6
BP0003242;A01;OA0000028;27/08/2020;10;NSAL2505754H34;9715;20754
BP0004176;A01;OA0000029;27/08/2020;10;NSAI1503042B;193020;479202,6
BP0004176;A01;OA0000029;27/08/2020;20;NSAI2003042B;291740;479202,6
BP0004176;A01;OA0000029;27/08/2020;30;NSAI1503042B;11080;479202,6
BP0004176;A01;OA0000029;27/08/2020;40;NSAI2003042B;21670;479202,6
BP0005017;A01;OA0000031;27/08/2020;10;NSTZ070VRNGA-;3997;77131,41
BP0005017;A01;OA0000031;27/08/2020;20;NSTZ070VRNGA-;3971;77131,41
BP0005017;A01;OA0000031;27/08/2020;30;NSTZ070NAT;13172;77131,41
BP0005017;A01;OA0000031;27/08/2020;40;NSTZ065NAT;3344;77131,41
BP0004448;A01;OA0000032;27/08/2020;10;NSZV060D1BG2;95100;257838,11
BP0004448;A01;OA0000032;27/08/2020;20;NSZV060D1BG2;58150;257838,11
BP0004448;A01;OA0000032;27/08/2020;30;NSZV150D1BG2;60150;257838,11
BP0004448;A01;OA0000032;27/08/2020;40;NSZV055D1GA2;60850;257838,11
BP0004448;A01;OA0000032;27/08/2020;50;NSZV080D1RS2;56850;257838,11
BP0004448;A01;OA0000032;27/08/2020;60;NSZV080D1GA2;49580;257838,11
BP0004448;A01;OA0000032;27/08/2020;70;NSZV050D1TM2;72110;257838,11
BP0004448;A01;OA0000032;27/08/2020;80;NSZV060D1TM2;92030;257838,11
BP0004448;A01;OA0000032;27/08/2020;90;NSZV060D1TM2;70190;257838,11
BP0004448;A01;OA0000032;27/08/2020;100;NSZV180D1TM2;29180;257838,11
BP0004448;A01;OA0000032;27/08/2020;110;NSZV055D1VO2;59820;257838,11
BP0004448;A01;OA0000032;27/08/2020;120;NSZV060D1TM2;12105;257838,11
BP0003242;A01;OA0000033;28/08/2020;10;NSAL1505754H111;15130;239149,31
BP0003242;A01;OA0000033;28/08/2020;20;NSAL1505754H111;9045;239149,31
BP0003242;A01;OA0000033;28/08/2020;30;NSAL1505754H111;15122;239149,31
BP0003242;A01;OA0000033;28/08/2020;40;NSAL1505754H111;10024;239149,31
BP0003242;A01;OA0000033;28/08/2020;50;NSAL1505754H111;28060;239149,31
BP0003242;A01;OA0000033;28/08/2020;60;NSAL1505754H111;38066;239149,31
BP0003242;A01;OA0000033;28/08/2020;70;NSAL1505754H111;4136;239149,31
BP0004448;A01;OA0000034;28/08/2020;10;NSZV060D1BG2;160202;154790,01
BP0004448;A01;OA0000034;28/08/2020;20;NSZV100D1BG2;62610;154790,01
BP0004448;A01;OA0000034;28/08/2020;30;NSZV055D1HGA2;168160;154790,01
BP0005974;A01;OA0000035;28/08/2020;10;NSAI050304BA;14640;381190,96
BP0005974;A01;OA0000035;28/08/2020;20;NSAI050304BA;17575;381190,96
BP0005974;A01;OA0000035;28/08/2020;30;NSAI060304BA;17210;381190,96
BP0005974;A01;OA0000035;28/08/2020;40;NSAI080304BA;10523;381190,96
BP0005974;A01;OA0000035;28/08/2020;50;NSAI100304BA;17600;381190,96
BP0005974;A01;OA0000035;28/08/2020;60;NSAI100304BA;103260;381190,96
BP0005974;A01;OA0000035;28/08/2020;70;NSAI150304BA;35730;381190,96
BP0005974;A01;OA0000035;28/08/2020;80;NSAI200304BA;47920;381190,96
BP0005974;A01;OA0000035;28/08/2020;90;NSAI070304BA;22474;381190,96
BP0004658;A01;OA0000036;28/08/2020;10;NSAI1004302B;76186;259070,64
BP0004658;A01;OA0000036;28/08/2020;20;NSAI1204302B;13502;259070,64
BP0004658;A01;OA0000036;28/08/2020;30;NSAI1504302B;17819;259070,64
BP0004658;A01;OA0000036;28/08/2020;40;NSAI1504302B;79662;259070,64
BP0004658;A01;OA0000036;28/08/2020;50;NSAI2004302B;50800;259070,64
BP0004658;A01;OA0000036;28/08/2020;60;NSAI3004302B;194268;259070,64
BP0004229;A01;OA0000037;29/08/2020;10;NSAI040316BA;25806;129659,1
BP0004229;A01;OA0000037;29/08/2020;20;NSAI050316BA;56484;129659,1
BP0004445;A01;OA0000038;29/08/2020;10;NSAI080304BA;20198;261426,91
BP0004445;A01;OA0000038;29/08/2020;20;NSAI100304BA;73438;261426,91
BP0004445;A01;OA0000038;29/08/2020;30;NSAI200304BA;29504;261426,91
BP0004445;A01;OA0000038;29/08/2020;40;NSAI200304BA;18225;261426,91
BP0004445;A01;OA0000038;29/08/2020;50;NSAI200304BA;101416;261426,91
BP0002519;A01;OA0000039;31/08/2020;10;NSAI0704302B;22380;478379,74
BP0002519;A01;OA0000039;31/08/2020;20;NSAI0804302B;200480;478379,74
BP0002519;A01;OA0000039;31/08/2020;30;NSAI1004302B;77860;478379,74
BP0002519;A01;OA0000039;31/08/2020;40;NSAI1204302B;145160;478379,74
BP0002519;A01;OA0000039;31/08/2020;50;NSAI1504302B;102920;478379,74
BP0002519;A01;OA0000039;31/08/2020;60;NSAI2004302B;96830;478379,74
BP0002519;A01;OA0000039;31/08/2020;70;NSAI2504302B;83520;478379,74
BP0002519;A01;OA0000039;31/08/2020;80;NSAI2504302B;92620;478379,74
BP0002519;A01;OA0000039;31/08/2020;90;NSAI2004302B;9750;478379,74
BP0001104;A01;OA0000040;31/08/2020;10;FOAI2003102B;699,1;3156,93
BP0002519;A01;OA0000041;31/08/2020;10;FOAI400430F1;19196;84573,3
BP0002519;A01;OA0000041;31/08/2020;20;FOAI400430F1;89168;84573,3
BP0002519;A01;OA0000041;31/08/2020;30;FOAI500430F1;41966;84573,3
BP0002519;A01;OA0000041;31/08/2020;40;FOAI400430F1;1350;84573,3
BP0004594;A01;OA0000042;31/08/2020;10;NSAV080TM2L;4548;30001,24
BP0004594;A01;OA0000042;31/08/2020;20;NSAV080TM2L;10652;30001,24
BP0004594;A01;OA0000043;31/08/2020;10;NSAV100GA2L;3060;50695,02
BP0004594;A01;OA0000043;31/08/2020;20;NSAV100TM2L;16160;50695,02
BP0004594;A01;OA0000043;31/08/2020;30;NSAV100TM2L;10414;50695,02
BP0004594;A01;OA0000044;31/08/2020;10;NSAV100BG2L;10704;48840
BP0004594;A01;OA0000044;31/08/2020;20;NSAV100GA2L;10544;48840
BP0004594;A01;OA0000045;31/08/2020;10;FOAL3001050FMAN1000X2000;5706;51048
BP0004594;A01;OA0000045;31/08/2020;20;FOAL3001050FMAN1250X2500;6012;51048
BP0004594;A01;OA0000045;31/08/2020;30;FOAL3001050FMAN1500X3000;6098;51048
BP0004594;A01;OA0000045;31/08/2020;40;FOAL2001050FMAN1000X2000;4296;51048
BP0004594;A01;OA0000045;31/08/2020;50;FOAL2001050FMAN1500X3000;4064;51048
BP0004594;A01;OA0000046;31/08/2020;10;NSAV080BG2L;10684;160747,09
BP0004594;A01;OA0000046;31/08/2020;20;NSAV100GA2L;20648;160747,09
BP0004594;A01;OA0000046;31/08/2020;30;NSAV100GA2L;8826;160747,09
BP0004594;A01;OA0000046;31/08/2020;40;NSAV080TM2L;20192;160747,09
BP0004594;A01;OA0000046;31/08/2020;50;NSAV080TM2L;9936;160747,09
BP0004594;A01;OA0000046;31/08/2020;60;NSAV100TM2L;23574;160747,09
BP0004594;A01;OA0000047;31/08/2020;10;NSAL0601050H24GOF;1625;3387,2
BP0004594;A01;OA0000048;31/08/2020;10;NSAV100BG2L;10886;176903,99
BP0004594;A01;OA0000048;31/08/2020;20;NSAV100BG2L;9958;176903,99
BP0004594;A01;OA0000048;31/08/2020;30;NSAV080TM2L;11422;176903,99
BP0004594;A01;OA0000048;31/08/2020;40;NSAV080TM2L;18940;176903,99
BP0004594;A01;OA0000048;31/08/2020;50;NSAV100TM2L;41360;176903,99
BP0004594;A01;OA0000048;31/08/2020;60;NSAV100TM2L;17322;176903,99
BP0000855;A01;OA0000050;01/09/2020;10;NSAI3004302B;4000;16601
BP0000855;A01;OA0000050;01/09/2020;20;NSAI3004302B;10910;16601
BP0003938;A01;OA0000051;01/09/2020;10;NSAL1501050H18;4510;9412,37
BP0003938;A01;OA0000052;01/09/2020;10;NSAL0701050H24GOF;3572;48335,16
BP0003938;A01;OA0000052;01/09/2020;20;NSAL0801050H24;19574;48335,16
BP0003938;A01;OA0000052;01/09/2020;30;NSAL1001050H24GOF;4896;48335,16
BP0003938;A01;OA0000052;01/09/2020;40;NSAL0801050H24GOF;6916;48335,16
BP0003938;A01;OA0000052;01/09/2020;50;NSAL0801050H24GOF;1747;48335,16
BP0003938;A01;OA0000053;01/09/2020;10;NSAL1501050H24;8126;12399,6
BP0003938;A01;OA0000054;01/09/2020;10;NSAL0701050H24;4627;19576,9
BP0003938;A01;OA0000054;01/09/2020;20;NSAL1201050H24;4846;19576,9
BP0000563;A01;OA0000055;01/09/2020;10;XXNA1600X28ZI32;69;1666
BP0004448;A01;OA0000056;01/09/2020;10;NSZV060D1BG2;27000;9720
BP0004448;A01;OA0000057;01/09/2020;10;NSZV050D1NE2;45870;17476,47
BP0004448;A01;OA0000058;01/09/2020;10;NSZV050D1BG2;60650;111776,64
BP0004448;A01;OA0000058;01/09/2020;20;NSZV060D1SI2;59710;111776,64
BP0004448;A01;OA0000058;01/09/2020;30;NSZV060D1NE2;29460;111776,64
BP0004448;A01;OA0000058;01/09/2020;40;NSZV055D1HTM2;72818;111776,64
BP0004448;A01;OA0000058;01/09/2020;50;NSZV055D1HTM2;37276;111776,64
BP0004448;A01;OA0000059;01/09/2020;10;NSZN050D1200;205470;189362,44
BP0004448;A01;OA0000059;01/09/2020;20;NSZN055D1200;128020;189362,44
BP0004448;A01;OA0000059;01/09/2020;30;NSZN055D1200;29440;189362,44
BP0004448;A01;OA0000059;01/09/2020;40;NSZN060D1200;57460;189362,44
BP0004448;A01;OA0000059;01/09/2020;50;NSZN070D1200;67040;189362,44
BP0004448;A01;OA0000059;01/09/2020;60;NSZN070D1200;59910;189362,44
BP0004448;A01;OA0000059;01/09/2020;70;NSZN075D1200;27185;189362,44
BP0003653;A01;OA0000060;02/09/2020;10;NSCU030DSCR;2078;13040
BP0003938;A01;OA0000061;02/09/2020;10;NSAL1001050H24;4847;81172,26
BP0003938;A01;OA0000061;02/09/2020;20;NSAL1001050H24;9283;81172,26
BP0003938;A01;OA0000061;02/09/2020;30;NSAL1001050H24;5237;81172,26
BP0003938;A01;OA0000061;02/09/2020;40;NSAL1201050H24;5244;81172,26
BP0003938;A01;OA0000061;02/09/2020;50;NSAL1501050H24;5373;81172,26
BP0003938;A01;OA0000061;02/09/2020;60;NSAL2001050H24;9794;81172,26
BP0003938;A01;OA0000061;02/09/2020;70;NSAL2001050H24;5150;81172,26
BP0001372;A01;OA0000062;02/09/2020;10;NSAV100ZA1L;3361;14149,81
BP0001372;A01;OA0000063;02/09/2020;10;NSAV100BG2L;14636;103481,98
BP0001372;A01;OA0000063;02/09/2020;20;NSAV070TM2L;3319;103481,98
BP0001372;A01;OA0000063;02/09/2020;30;NSAV100TM2L;7168;103481,98
BP0001372;A01;OA0000063;02/09/2020;40;NSAV150B91P;3534;103481,98
BP0001372;A01;OA0000063;02/09/2020;50;NSAV150B91P;4235;103481,98
BP0001372;A01;OA0000063;02/09/2020;60;NSAV150GA1P;3532;103481,98
BP0001372;A01;OA0000063;02/09/2020;70;NSAV150GA1P;4211;103481,98
BP0004594;A01;OA0000064;02/09/2020;10;NSZV100D1BG2;0;0
BP0002519;A01;OA0000065;02/09/2020;10;NSAI2504412B;10980;16140,6
BP0004353;A01;OA0000066;02/09/2020;10;NSZV055D1TMA2;21496;39537,02
BP0004353;A01;OA0000066;02/09/2020;20;NSZV080D1TMA2;76464;39537,02
BP0004353;A01;OA0000066;02/09/2020;30;NSZV100D1B91;6850;39537,02
BP0003242;A01;OA0000067;02/09/2020;10;NSAL1503105H24;15052;15729,34
BP0001372;A01;OA0000068;03/09/2020;10;NSAV080SA1L;6532;23848,26
BP0001372;A01;OA0000068;03/09/2020;20;NSAV065GR2L;2700;23848,26
BP0001372;A01;OA0000068;03/09/2020;30;NSAV080GR2L;2535;23848,26
BP0003735;A01;OA0000069;03/09/2020;10;NSAV080B91L;5614;297406,38
BP0003735;A01;OA0000069;03/09/2020;20;NSAV080B91L;14014;297406,38
BP0003735;A01;OA0000069;03/09/2020;30;NSAV100B91L;6750;297406,38
BP0003735;A01;OA0000069;03/09/2020;40;NSAV120B91L;5414;297406,38
BP0003735;A01;OA0000069;03/09/2020;50;NSAV080GA1L;14132;297406,38
BP0003735;A01;OA0000069;03/09/2020;60;NSAV100GA1L;13702;297406,38
BP0003735;A01;OA0000069;03/09/2020;70;NSAV080NE1L;6852;297406,38
BP0003735;A01;OA0000069;03/09/2020;80;NSAV100G71L;13340;297406,38
BP0003735;A01;OA0000069;03/09/2020;90;NSAV080SI1L;5508;297406,38
BP0003735;A01;OA0000069;03/09/2020;100;NSAV080SI1L;6804;297406,38
BP0003735;A01;OA0000069;03/09/2020;110;NSAV100SI1L;13394;297406,38
BP0003735;A01;OA0000069;03/09/2020;120;NSAV100SI1L;5158;297406,38
